lemma,upos,doc_count,total_count,mean_count,max_count,category,notes,pos_group,suggested_category_ChatGPT,suggested_category_Claude,notes_Claude,top_subjects,top_objects,top_comps,top_obls,top_noun_roles,top_head_verbs,top_amod,top_compound
history,NOUN+PROPN,14,20,1.428571429,4,,,NOUN,,DISCOURSE,,,,,,compound:6 | nmod:5 | conj:4 | obl:3 | appos:1,teach:1 | fit:1 | attend:1 | need:1,,dance:1
approach,NOUN+PROPN,14,19,1.357142857,3,,,NOUN,,CONCEPT,,I:2 | this:1 | other:1,AI:2 | scene:1,utilise:1,manner:1,obj:7 | nsubj:5 | obl:2 | nmod:2 | nsubj:pass:1,change:2 | be:1 | have:1 | brainstorm:1 | decide:1,good:2 | certain:1 | minimalist:1 | various:1 | right:1,diy:1
item,NOUN+PROPN,14,19,1.357142857,4,,,NOUN,,DISCOURSE,,,,,,obj:7 | obl:5 | nmod:4 | conj:3,remove:2 | use:1 | replace:1 | create:1 | identify:1,unwanted:2 | specific:1 | real:1 | other:1 | fast:1,event:2 | action:2 | vinyl:1 | decor:1 | matching:1
editor,NOUN+PROPN,14,18,1.285714286,2,,,NOUN,,AGENT,,,,,,conj:11 | obl:3 | obj:2 | nsubj:1 | xcomp:1,see:2 | use:2 | call:1 | become:1 | have:1,vocal:1 | superficial:1 | human:1,AI:1 | drum:1 | photo:1 | copy:1 | light:1
section,NOUN+PROPN,14,18,1.285714286,2,,,NOUN,,DISCOURSE,,,,,,obj:7 | obl:5 | nmod:3 | conj:2 | nsubj:1,give:2 | write:2 | add:1 | take:1 | re-write:1,edit:1 | particular:1 | individual:1 | next:1 | transcribe:1,floor:1 | barre:1 | person:1
title,NOUN+PROPN,14,18,1.285714286,4,,,NOUN,,ARTIFACT,,,,,,nmod:6 | conj:4 | obl:4 | obj:3 | compound:1,struggle:2 | make:1 | find:1 | get:1 | come:1,catchy:2 | perfect:2 | strong:1,writing:1
brain,NOUN+PROPN,14,17,1.214285714,2,,,NOUN,,DISCOURSE,,,,,,obl:6 | obj:4 | nsubj:3 | compound:2 | ccomp:1,use:2 | come:2 | go:1 | realise:1 | originate:1,own:7 | human:2 | second:1 | natural:1,ADHD:1
goal,NOUN+PROPN,14,17,1.214285714,3,,,NOUN,,CONCEPT,,,,,,obj:5 | nmod:4 | nsubj:3 | nsubj:outer:2 | conj:2,continue:1 | have:1 | get:1 | identify:1 | understand:1,specific:2 | own:1 | unique:1 | ultimate:1 | stylistic:1,end:2 | project:1
child,NOUN+PROPN,14,16,1.142857143,2,,,NOUN,,AGENT,,,,,,nmod:poss:6 | nmod:4 | obl:4 | obj:2,take:2 | travel:2 | orient:1,different:1 | British:1 | teenage:1 | many:1 | old:1,
customer,NOUN+PROPN,14,16,1.142857143,2,,,NOUN,WORK_CONTEXT,CONTEXT,,,,,,obl:6 | nsubj:4 | compound:4 | nmod:1 | obl:agent:1,connect:1 | have:1 | overwhelm:1 | create:1 | empathize:1,certain:1 | specific:1 | pay:1,
grammar,NOUN+PROPN,14,16,1.142857143,2,,,NOUN,,PROCESS,,,,,,compound:5 | obj:3 | conj:2 | root:2 | obl:2,be:2 | check:1 | use:1 | keep:1,power:1 | enough:1 | sloppy:1 | incorrect:1 | distinct:1,
instruction,NOUN+PROPN,14,16,1.142857143,2,,,NOUN,,PROCESS,,,,,,obj:7 | obl:5 | compound:1 | nmod:1 | conj:1,give:4 | follow:2 | struggle:2 | pay:1 | prompt:1,specific:1 | winded:1 | other:1 | custom:1 | target:1,person:1 | system:1
layout,NOUN+PROPN,14,16,1.142857143,3,,,NOUN,,ARTIFACT,,,,,,nmod:5 | obj:5 | conj:5 | obl:1,design:1 | create:1 | make:1 | fit:1 | recreate:1,complicated:1 | few:1 | different:1 | basic:1,composition:2 | pcb:2 | book:1 | cover:1 | scene:1
training,NOUN+PROPN,14,16,1.142857143,2,,,NOUN,,TECH,,,,,,compound:8 | nmod:3 | conj:2 | obj:2 | root:1,have:2,formal:1 | legal:1 | specialized:1 | basic:1,AI:1 | code:1
campaign,NOUN+PROPN,14,15,1.071428571,2,,,NOUN,,ARTIFACT,,,,,,obl:5 | obj:4 | nmod:3 | conj:1 | compound:1,run:2 | make:1 | write:1 | play:1 | create:1,,Dungeons:1 | homebrew:1 | email:1 | Ghost:1 | marketing:1
minute,NOUN+PROPN,14,15,1.071428571,2,,,NOUN,TIME_RESOURCE,RESOURCE,,,,,,obl:7 | compound:4 | obl:unmarked:2 | obj:1 | conj:1,throw:1 | use:1 | tell:1 | spend:1 | hear:1,few:3 | last:1,
vision,NOUN+PROPN,14,15,1.071428571,2,,,NOUN,CREATIVE_CONCEPT,CONCEPT,,,,,,obj:11 | nmod:2 | nsubj:2,achieve:2 | execute:2 | match:2 | clarify:1 | meet:1,creative:2 | different:1 | exact:1 | big:1 | original:1,author:1
block,NOUN+PROPN,14,14,1.0,1,,,NOUN,,UNCLEAR,,writer:2 | I:1,time:1 | swing:1 | hit:1,,sword:1,obj:7 | obl:4 | nmod:2 | obl:agent:1,have:4 | talk:1 | get:1 | face:1 | start:1,creative:4 | mental:2,
capability,NOUN+PROPN,14,14,1.0,1,,,NOUN,,RESOURCE,,,,,,nsubj:6 | obj:4 | obl:2 | nmod:1 | xcomp:1,have:2 | improve:2 | continue:1 | maximize:1 | increase:1,actual:1,research:1 | photography:1 | production:1
fun,NOUN+PROPN,14,14,1.0,1,,,NOUN,,UNCLEAR,,,,,,nmod:5 | obl:4 | parataxis:1 | conj:1 | obj:1,write:1 | focus:1 | enjoy:1 | take:1 | try:1,great:1 | more:1,
whole,NOUN+PROPN,14,14,1.0,1,,,NOUN,,UNCLEAR,,,,,,obl:10 | nmod:3 | obj:1,enhance:1 | consider:1 | change:1 | understand:1 | produce:1,,
player,NOUN+PROPN,13,21,1.615384615,3,,,NOUN,,UNCLEAR,,,,,,nsubj:8 | obl:4 | compound:3 | nmod:2 | conj:1,go:3 | attract:1 | create:1 | play:1 | take:1,,DnD:1 | football:1
artwork,NOUN+PROPN,13,20,1.538461538,6,,,NOUN,,UNCLEAR,,,,,,nmod:7 | obj:7 | conj:2 | obl:2 | root:2,draw:2 | design:2 | generate:1 | steal:1 | sell:1,personal:2 | final:2 | digital:1,video:1 | album:1
clip,NOUN+PROPN,13,18,1.384615385,3,,,NOUN,,UNCLEAR,,,,,,obj:11 | nmod:2 | root:1 | obl:1 | conj:1,cut:2 | find:2 | generate:1 | sift:1 | extend:1,funny:1 | exist:1 | short:1,video:4 | benefit:1 | roll:1 | be:1 | example:1
structure,NOUN+PROPN,13,18,1.384615385,4,,,NOUN,,CONCEPT,,I:1,code:1 | work:1,,accordance:1 | structure:1,obj:7 | obl:7 | nsubj:2 | nsubj:pass:1 | conj:1,map:2 | build:1 | develop:1 | reign:1 | have:1,other:2 | basic:1 | cohesive:1 | military:1,story:2 | outline:1 | post:1 | email:1 | Act:1
logo,NOUN+PROPN,13,17,1.307692308,5,,,NOUN,,ARTIFACT,,,,,,obj:8 | compound:4 | nmod:3 | obl:2,design:3 | work:2 | isolate:1 | extract:1 | separate:1,,business:1 | color:1 | company:1 | machine:1
pattern,NOUN+PROPN,13,17,1.307692308,3,,,NOUN,,CONCEPT,,,,,,obj:9 | obl:3 | nmod:2 | conj:1 | nsubj:1,create:2 | see:1 | inclined:1 | pick:1 | memorize:1,multipiece:1,stock:1 | syllable:1 | abab:1 | rhyme:1 | migration:1
team,NOUN+PROPN,13,17,1.307692308,3,,,NOUN,WORK_CONTEXT,CONTEXT,,,,,,obl:5 | nmod:3 | nsubj:3 | obj:2 | conj:2,bring:2 | work:2 | manage:1 | fall:1 | feel:1,small:2 | creative:2 | large:1,writing:2 | production:1 | management:1 | filmmaking:1 | person:1
impact,NOUN+PROPN,13,16,1.230769231,2,,,NOUN,,DISCOURSE,,it:4 | that:2 | who:1 | content:1,saturation:1 | view:1 | credibility:1 | worker:1 | I:1,publish:1,general:1 | space:1,obj:7 | obl:6 | root:2 | conj:1,have:3 | consider:3 | worry:1 | less:1 | make:1,environmental:4 | overall:1 | same:1 | more:1 | big:1,
input,NOUN+PROPN,13,16,1.230769231,2,,,NOUN,,TECH,,we:1 | I:1,datum:1 | project:1,,,obl:7 | obj:4 | nmod:3 | conj:1 | nsubj:outer:1,generate:2 | get:1 | rely:1 | require:1 | take:1,human:4 | creative:4 | minimal:2 | more:1 | little:1,
painting,NOUN+PROPN,13,16,1.230769231,3,,,NOUN,,ARTIFACT,,,,,,obj:4 | obl:3 | compound:3 | nmod:2 | conj:2,describe:1 | compare:1 | use:1 | brainstorm:1 | look:1,own:1 | specific:1 | acrylic:1 | themed:1 | small:1,woodland:1 | base:1
phase,NOUN+PROPN,13,16,1.230769231,2,,,NOUN,,PROCESS,,,,,,obl:9 | nmod:3 | obj:1 | conj:1 | nsubj:1,go:1 | compile:1 | make:1 | use:1 | involve:1,aforementioned:1 | similar:1 | preliminary:1 | few:1 | early:1,research:4 | moon:2 | editing:2 | adoption:1 | planning:1
TV,NOUN+PROPN,13,15,1.153846154,2,,,NOUN,,UNCLEAR,,,,,,compound:9 | conj:3 | obl:2 | root:1,work:1 | suit:1,,end:1 | reality:1
genre,NOUN+PROPN,13,15,1.153846154,2,,,NOUN,,CONCEPT,,,,,,obl:3 | conj:3 | obj:3 | nsubj:2 | nmod:2,mix:2 | research:1 | create:1 | vary:1 | write:1,other:1 | different:1 | prefer:1 | likely:1,dance:1 | token:1
publishing,NOUN+PROPN,13,15,1.153846154,2,,,NOUN,,CONTEXT,,,,,,compound:7 | conj:3 | nmod:2 | obl:2 | acl:relcl:1,retain:1 | switch:1,indie:1,self:3 | book:1
angle,NOUN+PROPN,13,14,1.076923077,2,,,NOUN,,DISCOURSE,,,,,,obl:6 | obj:4 | nmod:2 | conj:1 | root:1,look:3 | generate:2 | explore:1 | lower:1 | tweak:1,different:3 | useful:1 | potential:1 | multiple:1 | many:1,camera:2
feeling,NOUN+PROPN,13,14,1.076923077,2,,,NOUN,,CONCEPT,,,,,,obj:6 | obl:3 | conj:2 | nsubj:1 | nsubj:pass:1,have:3 | rely:1 | replicate:1 | know:1 | magnify:1,strong:2 | atmospheric:1 | earnest:1,
paper,NOUN+PROPN,13,14,1.076923077,2,,,NOUN,,ARTIFACT,,,,,,obl:6 | conj:3 | nmod:2 | compound:2 | obj:1,put:3 | help:1 | look:1 | do:1 | spread:1,rule:1 | philosophical:1 | legal:1 | digital:1 | printable:1,A4:1
presentation,NOUN+PROPN,13,14,1.076923077,2,,,NOUN,,ARTIFACT,,,,,,obj:5 | obl:3 | conj:3 | root:2 | nsubj:1,do:1 | structuring:1 | develop:1 | insert:1 | say:1,creative:1,stage:1 | design:1
D,NOUN+PROPN,12,18,1.5,3,,,NOUN,,UNCLEAR,,,,,,compound:18,print:1,,
palette,NOUN+PROPN,12,18,1.5,6,,,NOUN,,UNCLEAR,,,,,,obj:6 | nmod:5 | conj:3 | compound:2 | dislocated:1,need:1 | generate:1 | switch:1 | find:1 | have:1,certain:2 | right:1 | suitable:1,color:15 | mood:1
illustration,NOUN+PROPN,12,17,1.416666667,4,,,NOUN,CREATIVE_ARTIFACT,ARTIFACT,,,,,,obl:6 | compound:5 | obj:4 | conj:1 | nsubj:pass:1,bring:1 | use:1 | iterate:1 | complete:1 | turn:1,finalise:1 | inspire:1,base:3 | pen:1
file,NOUN+PROPN,12,16,1.333333333,3,,,NOUN,,TECH,,,,,,obj:12 | nmod:1 | compound:1 | nsubj:1 | obl:1,create:3 | organize:2 | produce:2 | use:1 | merge:1,interactive:2 | actual:1 | extensive:1 | digital:1 | individual:1,training:3 | audio:1 | stereo:1 | pcb:1 | gerber:1
sentence,NOUN+PROPN,12,16,1.333333333,3,,,NOUN,,ARTIFACT,,,,,,obj:6 | obl:4 | nmod:3 | compound:3,write:2 | make:1 | emphasize:1 | offer:1 | edit:1,few:1 | previous:1 | close:1,
passage,NOUN+PROPN,12,15,1.25,2,,,NOUN,,UNCLEAR,,,,,,obj:6 | obl:3 | conj:2 | root:1 | nmod:1,create:2 | go:1 | read:1 | break:1 | write:1,short:3 | creative:1 | eloquent:1,
user,NOUN+PROPN,12,15,1.25,2,,,NOUN,,AGENT,,,,,,obj:2 | nsubj:2 | iobj:2 | nmod:poss:2 | obl:2,allow:2 | translate:1 | scale:1 | remember:1 | tailor:1,particular:2 | individual:1,gimp:1 | making:1 | end:1
actor,NOUN+PROPN,12,14,1.166666667,3,,,NOUN,,UNCLEAR,,,,,,nmod:5 | nsubj:3 | obj:3 | appos:1 | root:1,replace:2 | look:1 | find:1 | help:1 | maintain:1,many:2 | malicious:1 | real:1 | professional:1 | bad:1,voice:3 | AI:1
context,NOUN+PROPN,12,14,1.166666667,2,,,NOUN,,DISCOURSE,,,,,,obl:6 | nmod:3 | compound:2 | obj:2 | conj:1,lose:1 | say:1 | read:1 | come:1 | send:1,historical:2 | other:1 | shift:1 | much:1 | statistical:1,work:1
mistake,NOUN+PROPN,12,14,1.166666667,2,,,NOUN,,UNCLEAR,,,,,,obj:6 | obl:3 | ccomp:1 | nmod:1 | xcomp:1,make:4 | think:1 | inspect:1 | check:1 | believe:1,,grammar:2
advice,NOUN+PROPN,12,13,1.083333333,2,,,NOUN,,UNCLEAR,,,,,,obj:7 | conj:3 | obl:2 | nsubj:1,ask:2 | offer:2 | give:2 | find:1 | follow:1,helpful:1 | tailor:1 | intelligent:1 | unsolicited:1,marketing:1
chatbot,NOUN+PROPN,12,13,1.083333333,2,,,NOUN,AI_TECH,TECH,,,,,,obl:5 | obj:3 | nsubj:2 | compound:1 | nmod:1,find:2 | prefer:1 | make:1 | cite:1 | pop:1,regular:1 | general:1,company:1 | AI:1
confidence,NOUN+PROPN,12,13,1.083333333,2,,,NOUN,,UNCLEAR,,,,,,obj:6 | nsubj:4 | root:1 | compound:1 | conj:1,damper:1 | boot:1 | improve:1 | rang:1 | bolster:1,more:1,self:1 | %:1
matter,NOUN+PROPN,12,13,1.083333333,2,,,NOUN,,DISCOURSE,,it:3 | that:3 | fact:1 | who:1,what:1 | more:1,,heading:1 | woman:1,obl:3 | nmod:2 | obl:unmarked:2 | ccomp:1 | parataxis:1,imagine:1 | feel:1 | write:1 | fit:1 | create:1,different:1 | possible:1,subject:2 | material:1
technology,NOUN+PROPN,12,13,1.083333333,2,,,NOUN,AI_TECH,TECH,,,,,,obj:5 | nsubj:3 | obl:2 | nmod:2 | compound:1,advance:2 | make:1 | use:1 | see:1 | create:1,more:1,support:1
understanding,NOUN+PROPN,12,13,1.083333333,2,,,NOUN,,DISCOURSE,,,,,,obj:8 | obl:3 | nmod:1 | nsubj:1,gain:4 | have:2 | improve:2 | use:1 | get:1,deep:4 | practical:1 | good:1,knowledge:1
instance,NOUN+PROPN,12,12,1.0,1,,,NOUN,,UNCLEAR,,,,,,obl:10 | parataxis:1 | nmod:1,want:2 | ask:1 | sell:1 | expand:1 | test:1,,
opportunity,NOUN+PROPN,12,12,1.0,1,,,NOUN,,DISCOURSE,,,,,,obj:5 | nmod:2 | nsubj:2 | obl:1 | root:1,be:2 | unlock:1 | make:1 | reduce:1 | have:1,new:2 | much:2 | creative:1,grant:1
other,NOUN+PROPN,12,12,1.0,1,,,NOUN,,UNCLEAR,,,,,,obj:3 | nsubj:3 | obl:2 | nmod:2 | obl:agent:1,accuse:1 | create:1 | use:1 | edit:1 | say:1,few:1,
reality,NOUN+PROPN,12,12,1.0,1,,,NOUN,,DISCOURSE,,,,,,obl:4 | compound:3 | nmod:2 | obj:1 | root:1,adapt:1 | use:1 | produce:1 | publish:1 | work:1,augment:2 | imbedd:1,
room,NOUN+PROPN,12,12,1.0,1,,,NOUN,,UNCLEAR,,,,,,nmod:4 | obj:2 | obl:2 | nsubj:2 | ccomp:1,leave:1 | stream:1 | replace:1 | be:1 | choose:1,dirty:1 | whole:1 | theoretical:1 | certain:1,writer:1 | wiggle:1 | emergency:1 | waiting:1
standard,NOUN+PROPN,12,12,1.0,1,,,NOUN,,CONCEPT,,,,,,obl:4 | obj:3 | nmod:1 | ccomp:1 | conj:1,meet:2 | have:2 | think:1 | fall:1 | create:1,typical:1 | high:1 | low:1 | enough:1,industry:2 | content:1
technique,NOUN+PROPN,12,12,1.0,1,,,NOUN,,PROCESS,,,,,,nmod:3 | obl:3 | obj:3 | conj:2 | compound:1,turn:1 | do:1 | learn:1 | teach:1,new:3 | modern:1 | digital:1 | proper:1 | different:1,production:1 | restoration:1
machine,NOUN+PROPN,11,17,1.545454545,5,,,NOUN,,TECH,,,,,,nsubj:4 | obj:4 | obl:4 | compound:2 | nmod:2,do:1 | use:1 | load:1 | talk:1 | see:1,old:1 | own:1 | personal:1 | active:1,gum:3 | cricut:2 | bubble:2 | capitalist:1 | profit:1
object,NOUN+PROPN,11,16,1.454545455,3,,,NOUN,,UNCLEAR,,,,,,obj:5 | conj:4 | nmod:3 | obl:2 | appos:1,add:2 | remove:1 | replace:1 | delve:1 | puppeteer:1,other:1 | magical:1 | unwanted:1 | want:1 | simple:1,D:1 | background:1
fantasy,NOUN+PROPN,11,15,1.363636364,3,,,NOUN,,UNCLEAR,,,,,,compound:12 | obj:1 | conj:1 | obl:1,write:1 | differ:1,typical:1 | eurocentric:1 | base:1,
brand,NOUN+PROPN,11,14,1.272727273,2,,,NOUN,,CONCEPT,,,,,,compound:8 | obj:4 | obl:1 | nmod:1,want:2 | sound:1 | launch:1 | refine:1,new:1,makeup:1
creator,NOUN+PROPN,11,14,1.272727273,3,,,NOUN,,AGENT,,,,,,obl:4 | nmod:2 | nmod:poss:2 | conj:2 | xcomp:2,be:1 | take:1 | exist:1 | feel:1 | say:1,most:1 | real:1 | independent:1,content:1 | art:1 | video:1
info,NOUN+PROPN,11,14,1.272727273,3,,,NOUN,,UNCLEAR,,,,,,obj:10 | nmod:2 | conj:1 | nsubj:1,receive:2 | compile:2 | use:1 | spread:1 | have:1,little:2 | false:1 | specific:1 | enough:1 | up:1,client:1
check,NOUN+PROPN,11,13,1.181818182,3,,,NOUN,,UNCLEAR,,I:1 | that:1 | they:1,work:5 | it:3 | math:3 | everything:2 | some:2,double:1 | accurate:1,issue:1 | ps:1 | mistake:1 | tool:1 | error:1,obl:5 | obj:3 | compound:2 | root:1 | nmod:1,use:3 | undergoe:1 | look:1 | perform:1 | have:1,quick:2 | multiple:1 | human:1 | first:1 | good:1,fact:4 | double:2 | grammar:1 | spell:1 | bias:1
potential,NOUN+PROPN,11,13,1.181818182,2,,,NOUN,,RESOURCE,,,,,,obj:6 | conj:2 | nmod:2 | nsubj:2 | obl:1,have:3 | end:1 | yield:1 | notice:1 | be:1,much:1 | great:1 | creative:1 | human:1 | incredible:1,
program,NOUN+PROPN,11,13,1.181818182,3,,,NOUN,,TECH,,,,,,obj:9 | obl:1 | conj:1 | nsubj:1 | nmod:1,use:6 | have:2 | edit:1 | ask:1 | complete:1,digital:1 | generative:1 | different:1 | professional:1,AI:2 | editing:1 | software:1
internet,NOUN+PROPN,11,12,1.090909091,2,,,NOUN,,TECH,,,,,,obl:6 | compound:3 | nmod:2 | obj:1,search:2 | bear:1 | get:1 | see:1 | pull:1,,
platform,NOUN+PROPN,11,12,1.090909091,2,,,NOUN,AI_TECH,TECH,,,,,,obl:3 | nmod:3 | obj:2 | conj:2 | compound:1,use:2 | leverage:1 | generate:1 | experiment:1,different:2 | online:1 | social:1,stream:2 | VOD:1 | AI:1 | media:1 | community:1
benefit,NOUN+PROPN,11,11,1.0,1,,,NOUN,,DISCOURSE,,that:1 | which:1,,,it:1 | field:1,nsubj:outer:3 | nmod:2 | obl:2 | nsubj:1 | advcl:relcl:1,get:2 | realize:1 | use:1 | consume:1 | see:1,main:1 | high:1 | limited:1,
computer,NOUN+PROPN,11,11,1.0,1,,,NOUN,,TECH,,,,,,nsubj:3 | nmod:2 | obj:2 | obl:2 | nsubj:pass:1,generate:1 | use:1 | draw:1 | do:1 | have:1,,cloud:1
document,NOUN+PROPN,11,11,1.0,1,,,NOUN,,ARTIFACT,,I:1,process:2,,general:1 | media:1,obj:6 | obl:3 | conj:2,create:2 | produce:1 | critique:1 | work:1 | review:1,usable:1 | final:1 | collaborative:1 | long:1,pdf:1 | onboarding:1 | word:1
possibility,NOUN+PROPN,11,11,1.0,1,,,NOUN,,PROCESS,,,,,,obj:6 | obl:2 | root:1 | advcl:1 | nsubj:1,see:3 | open:2 | explore:1 | assess:1,definite:1 | endless:1,
sale,NOUN+PROPN,11,11,1.0,1,,,NOUN,,UNCLEAR,,,,,,compound:4 | obj:2 | nmod:2 | conj:1 | obl:1,make:1 | see:1 | run:1 | tank:1,general:1,
session,NOUN+PROPN,11,11,1.0,1,,,NOUN,,PROCESS,,,,,,obl:5 | obj:2 | conj:1 | nmod:1 | nsubj:1,use:1 | say:1 | change:1 | lead:1 | ask:1,productive:2 | brainstorm:1 | fun:1,brainstorming:3 | writing:3 | stretch:1 | storytelling:1
value,NOUN+PROPN,11,11,1.0,1,,,NOUN,,CONCEPT,,who:1 | art:1,art:1,,,obj:7 | conj:2 | nsubj:pass:1 | obl:1,reduce:2 | appreciate:1 | give:1 | put:1 | generate:1,high:1 | little:1 | human:1 | relative:1,face:1 | brand:1
Gemini,NOUN+PROPN,10,18,1.8,3,,,NOUN,,UNCLEAR,,,,,,nsubj:5 | iobj:4 | obl:3 | obj:2 | conj:2,ask:2 | use:2 | create:1 | give:1 | come:1,,
3d,NOUN+PROPN,10,15,1.5,3,,,NOUN,,UNCLEAR,,,,,,compound:9 | conj:2 | obj:1 | nmod:1 | obl:1,print:2 | make:1 | AI:1,,
pitch,NOUN+PROPN,10,15,1.5,4,,,NOUN,,CONTEXT,,I:1 | AI:1,take:2 | it:1 | song:1 | thing:1 | idea:1,,what:1 | material:1 | rate:1 | buyer:1,conj:6 | obj:3 | nmod:2 | obl:2 | advcl:1,want:2 | create:1 | craft:1 | have:1,initial:1 | previous:1 | similar:1,design:1 | writing:1 | playlist:1
lyric,NOUN+PROPN,10,14,1.4,3,,,NOUN,,ARTIFACT,,,,,,obj:6 | obl:4 | nsubj:1 | nmod:1 | appos:1,add:2 | write:2 | analyze:1 | lead:1 | regenerate:1,,
class,NOUN+PROPN,10,13,1.3,3,,,NOUN,,DISCOURSE,,,,,,nmod:5 | obl:4 | obj:3 | root:1,use:2 | plan:1 | run:1 | bring:1 | create:1,many:1 | late:1 | creative:1,beginner:1 | KB:1 | writing:1
performance,NOUN+PROPN,10,12,1.2,2,,,NOUN,,UNCLEAR,,,,,,compound:5 | nmod:3 | obj:2 | conj:1 | root:1,align:1 | give:1,real:1 | multi:1 | facete:1 | good:1 | live:1,world:1 | baseline:1
personality,NOUN+PROPN,10,12,1.2,2,,,NOUN,,UNCLEAR,,,,,,conj:3 | obj:3 | root:1 | nsubj:1 | nmod:1,have:3 | base:1 | deal:1,obvious:1 | other:1 | right:1 | much:1,character:1
practice,NOUN+PROPN,10,12,1.2,3,,,NOUN,,PROCESS,,that:1,call:1,,dawn:1,obl:4 | nmod:2 | conj:2 | obj:2 | nsubj:1,synce:1 | integrate:1 | drill:1 | describe:1 | avoid:1,good:2 | unethical:1 | artistic:1 | guide:1 | creative:1,art:1 | meditation:1 | purpose:1
body,NOUN+PROPN,10,11,1.1,2,,,NOUN,,DISCOURSE,,,,,,obl:3 | nsubj:2 | obj:2 | nsubj:pass:2 | compound:1,say:1 | build:1 | connect:1 | spend:1 | return:1,main:1 | actual:1 | large:1 | entire:1,article:1
copywriting,NOUN+PROPN,10,11,1.1,2,,,NOUN,,UNCLEAR,,,,,,obl:4 | conj:2 | nmod:2 | obj:1 | nsubj:1,make:1 | include:1 | think:1 | depend:1 | run:1,other:1 | freelance:1,
energy,NOUN+PROPN,10,11,1.1,2,,,NOUN,TIME_RESOURCE,RESOURCE,,,,,,conj:7 | obj:2 | compound:1 | nmod:1,dedicate:1 | capture:1,more:1 | creative:1,
error,NOUN+PROPN,10,11,1.1,2,,,NOUN,,UNCLEAR,,,,,,obj:4 | conj:4 | obl:2 | nsubj:1,elicit:1 | correct:1 | point:1 | check:1 | combine:1,more:1 | grammatical:1 | short:1 | major:1,attention:1 | span:1
letter,NOUN+PROPN,10,11,1.1,2,,,NOUN,,UNCLEAR,,,,,,obj:7 | obl:2 | conj:2,draft:3 | have:1 | use:1 | touch:1 | craft:1,formal:1,cover:2 | warning:1 | form:1
photoshop,NOUN+PROPN,10,11,1.1,2,,,NOUN,,TECH,,,that:1,,picture:1 | up:1 | image:1,nmod:5 | compound:4 | conj:1 | nsubj:1,,,
podcast,NOUN+PROPN,10,11,1.1,2,,,NOUN,,ARTIFACT,,,,,,compound:4 | conj:3 | obj:2 | nmod:1 | obl:1,deliver:1 | launch:1 | work:1,polished:1,history:1 | part:1
seo,NOUN+PROPN,10,11,1.1,2,,,NOUN,,UNCLEAR,,,,,,compound:6 | obl:2 | nsubj:1 | nmod:1 | obj:1,look:1 | keep:1 | drive:1 | optimise:1 | use:1,,
building,NOUN+PROPN,10,10,1.0,1,,,NOUN,,UNCLEAR,,,,,,nmod:3 | compound:2 | obl:2 | conj:1 | root:1,work:1 | do:1 | help:1,,world:5 | relationship:1 | character:1 | depth:1 | tool:1
camera,NOUN+PROPN,10,10,1.0,1,,,NOUN,,TECH,,,,,,compound:7 | nmod:1 | conj:1 | obl:1,look:1,,
heart,NOUN+PROPN,10,10,1.0,1,,,NOUN,,DISCOURSE,,,,,,obl:4 | obj:3 | nmod:2 | nsubj:1,pour:2 | shape:1 | lose:1 | add:1 | become:1,embroider:1,beating:1
humanity,NOUN+PROPN,10,10,1.0,1,,,NOUN,,UNCLEAR,,,,,,obj:3 | nmod:2 | nsubj:2 | nsubj:pass:1 | obl:1,take:2 | mimick:1 | leave:1 | understand:1 | learn:1,,
majority,NOUN+PROPN,10,10,1.0,1,,,NOUN,,RESOURCE,,,,,,obj:2 | nsubj:2 | root:2 | obl:1 | ccomp:1,write:2 | think:1 | involve:1 | use:1 | make:1,vast:1,go:1
nature,NOUN+PROPN,10,10,1.0,1,,,NOUN,,UNCLEAR,,,,,,nmod:4 | root:2 | obl:2 | nsubj:1 | compound:1,mean:1 | inspire:1,personal:1 | human:1 | dynamic:1,facto:1
refinement,NOUN+PROPN,10,10,1.0,1,,,NOUN,,UNCLEAR,,,,,,conj:4 | obj:2 | obl:2 | compound:1 | nsubj:1,need:1 | make:1 | manage:1 | ask:1 | require:1,further:1 | much:1,test:1
start,NOUN+PROPN,10,10,1.0,1,,,NOUN,,DISCOURSE,,I:42 | we:7 | it:6 | person:4 | project:3,process:3 | project:3 | scene:2 | one:2 | conversation:2,use:7 | see:4 | write:3 | research:2 | look:2,idea:3 | with:2 | brainstorming:2 | way:1 | need:1,obl:5 | nmod:2 | obj:2 | advcl:1,take:1 | programming:1 | set:1 | get:1 | do:1,good:1 | little:1 | rocky:1,jump:2
trouble,NOUN+PROPN,10,10,1.0,1,,,NOUN,,UNCLEAR,,,,,,obj:10,have:8 | give:1 | cause:1,,
wall,NOUN+PROPN,10,10,1.0,1,,,NOUN,,UNCLEAR,,,,,,obj:5 | obl:3 | nsubj:1 | compound:1,hit:3 | throw:2 | rum:1 | need:1 | be:1,,
movie,NOUN+PROPN,9,17,1.888888889,5,,,NOUN,,ARTIFACT,,,,,,obj:6 | nmod:3 | compound:3 | conj:2 | obl:2,make:3 | mention:1 | see:1 | watch:1 | base:1,impossible:2 | exist:1 | exact:1,Mission:2 | Man:1 | fun:1
statement,NOUN+PROPN,9,14,1.555555556,5,,,NOUN,,UNCLEAR,,,,,,obj:5 | nmod:4 | conj:2 | nsubj:pass:1 | obl:1,generate:2 | craft:1 | edit:1 | put:1 | draft:1,relevant:1 | confirm:1,artist:4 | mission:1 | thesis:1 | identity:1
