lemma,pos_group,doc_count,total_count,ChatGPT_suggested_category,Claude_suggested_category,Claude_notes,top_clusters,top_subjects,top_objects,top_comps,top_obls,top_noun_roles,top_head_verbs,top_amod,top_compound
element,NOUN,38,50,UNCLEAR,ARTIFACT,"Artifact component; top_head_verbs: add, create, have","Art, design, crafts:22 | Audiovisual:12 | Fiction writing:8",,,,,obj:20 | nmod:8 | conj:7 | obl:5 | nsubj:5,add:3 | create:3 | have:2 | come:2 | rob:1,human:7 | other:3 | important:3 | creative:2 | certain:2,design:4 | background:2 | creativity:1 | fiction:1 | house:1
assistant,NOUN,38,45,AI_TECH,TECH,,"Art, design, crafts:16 | Fiction writing:13 | Content writing:11",,,,,obl:11 | nsubj:11 | obj:8 | compound:4 | nmod:4,have:5 | use:3 | find:2 | feel:2 | help:2,personal:2 | true:1 | many:1 | organised:1 | helpful:1,AI:11 | artist:1 | research:1 | admin:1 | writing:1
area,NOUN,38,44,UNCLEAR,DISCOURSE,"Discourse/context; top_amod: other, specific","Fiction writing:22 | Art, design, crafts:10 | Content writing:8",,,,,obl:16 | nmod:8 | obj:7 | root:6 | conj:4,have:2 | help:2 | use:2 | think:2 | save:1,other:5 | specific:3 | many:1 | particular:1 | bountiful:1,subject:1 | inauthenticity:1 | grey:1
author,NOUN,36,45,UNCLEAR,AGENT,"Agent; top_amod: independent, other",Fiction writing:24 | Mix:12 | Content writing:8,,,,,nmod:11 | nsubj:10 | root:6 | obj:5 | compound:4,have:3 | give:2 | want:2 | help:2 | use:1,independent:3 | other:2 | publish:2 | accomplish:1 | most:1,-genre:1
amount,NOUN,36,39,TIME_RESOURCE,RESOURCE,,"Art, design, crafts:9 | Fiction writing:9 | Content writing:8",,,,,obj:19 | obl:10 | nsubj:5 | root:2 | nmod:1,take:4 | do:3 | feel:2 | involve:2 | spend:2,short:3 | considerable:2 | enormous:2 | huge:2 | large:2,
name,NOUN,35,56,UNCLEAR,DISCOURSE,"Artifact/identifier; top_head_verbs: have, come, suggest","Content writing:4 | Art, design, crafts:2 | Audiovisual:1",,,,,obj:21 | obl:18 | conj:5 | nsubj:3 | nmod:3,have:5 | come:5 | suggest:3 | tell:2 | remember:2,generic:2 | own:2 | fun:1 | perfect:1 | many:1,character:4 | song:3 | business:2 | pen:2 | placeholder:1
human,NOUN,35,44,UNCLEAR,AGENT,Agent; top_noun_roles: nsubj; acts as subject,"Art, design, crafts:11 | Fiction writing:11 | Mix:9",,,,,nsubj:16 | nmod:9 | obj:6 | obl:6 | obl:agent:2,have:4 | create:2 | provide:2 | write:2 | become:1,actual:2 | many:1 | uncreative:1,
place,NOUN,35,38,UNCLEAR,DISCOURSE,"Discourse/location; top_head_verbs: take, use","Fiction writing:13 | Art, design, crafts:8 | Content writing:6",protagonist:1 | they:1 | tool:1 | it:1 | I:1,shadow:2 | limitation:1 | they:1 | object:1,right:1,time:2 | own:1 | use:1 | field:1 | strength:1,obl:14 | obj:11 | conj:4 | xcomp:3 | compound:2,take:7 | use:3 | get:2 | travel:2 | describe:2,first:3 | right:2 | boring:1 | common:1 | next:1,
direction,NOUN,35,37,CREATIVE_CONCEPT,CONCEPT,,"Art, design, crafts:15 | Fiction writing:7 | Audiovisual:5",,,,,obj:14 | obl:13 | nmod:5 | conj:3 | nsubj:1,go:4 | take:2 | point:2 | decide:2 | steer:2,different:5 | right:2 | multiple:2 | creative:1 | forward:1,art:2 | camera:1 | research:1
game,NOUN,34,58,UNCLEAR,ARTIFACT,"Artifact; top_compound: video, board, card","Content writing:19 | Mix:14 | Art, design, crafts:13",,,,,compound:23 | obl:13 | obj:10 | nmod:5 | nmod:poss:2,use:4 | play:2 | create:2 | change:2 | run:2,fun:1 | little:1 | mobile:1 | regular:1 | casual:1,video:4 | board:3 | card:2 | TTRPG:1 | d&d:1
feedback,NOUN,34,53,PROCESS_WORKFLOW,PROCESS,,"Fiction writing:25 | Content writing:15 | Art, design, crafts:7",,,,,obj:29 | obl:14 | compound:3 | nmod:3 | conj:2,provide:9 | get:8 | ask:7 | give:4 | use:2,honest:2 | final:1 | further:1 | helpful:1 | creative:1,
theme,NOUN,34,42,CREATIVE_CONCEPT,CONCEPT,,"Art, design, crafts:25 | Audiovisual:7 | Fiction writing:5",,,,,obl:13 | conj:9 | nmod:8 | obj:7 | nsubj:2,give:2 | be:1 | tell:1 | come:1 | have:1,philosophical:1 | certain:1 | key:1 | narrative:1 | happy:1,pack:1 | autumn:1 | fall:1 | mail:1 | design:1
skill,NOUN,34,41,UNCLEAR,RESOURCE,Resource/ability; top_head_verbs: improve; top_amod: creative,"Art, design, crafts:22 | Audiovisual:5 | Content writing:5",,,,,obj:13 | conj:8 | nsubj:7 | obl:5 | compound:3,improve:4 | be:2 | compose:1 | review:1 | develop:1,creative:2 | own:2 | main:1 | other:1 | proper:1,writing:2 | thinking:1 | communication:1 | research:1 | photoshop:1
type,NOUN,34,40,DISCOURSE_GENERAL,DISCOURSE,Discourse classifier,"Fiction writing:2 | Art, design, crafts:1 | Content writing:1",,,,,nmod:11 | obj:11 | obl:8 | compound:4 | conj:2,create:3 | post:1 | provide:1 | include:1 | conceptualize:1,many:4 | different:4 | other:3 | various:1 | request:1,look:1 | memoir:1 | roleplay:1 | dialogue:1 | card:1
control,NOUN,34,34,UNCLEAR,PROCESS,"Process/power; top_head_verbs: feel, have, keep, retain, take; top_amod: creative","Art, design, crafts:12 | Fiction writing:11 | Content writing:6",,,,,obj:8 | nmod:7 | obl:7 | advcl:3 | conj:3,feel:6 | have:3 | keep:2 | retain:2 | take:1,creative:3 | much:2 | less:1 | total:1 | authorial:1,
website,NOUN,33,42,UNCLEAR,TECH,"Tech artifact; top_head_verbs: help, write, find","Content writing:16 | Art, design, crafts:13 | Mix:6",,,,,obl:12 | obj:11 | compound:8 | nmod:5 | conj:3,help:2 | write:2 | jump:2 | find:1 | subscribe:1,different:1 | small:1,stock:2 | image:1 | business:1
plot,NOUN,33,41,UNCLEAR,ARTIFACT,Artifact element; top_compound: brainstorming,Fiction writing:35 | Content writing:3 | Mix:2,,,,,compound:17 | nmod:7 | obj:6 | obl:6 | nsubj:3,have:2 | make:2 | keep:1 | summarise:1 | move:1,great:1 | overall:1 | own:1 | overarching:1 | main:1,brainstorming:1 | manga:1
line,NOUN,33,38,UNCLEAR,ARTIFACT,"Artifact; top_head_verbs: create, blur","Art, design, crafts:14 | Fiction writing:11 | Audiovisual:6",,,,,obj:10 | obl:9 | compound:4 | root:3 | nmod:3,create:4 | blur:1 | vary:1 | activate:1 | write:1,fine:3 | first:2 | black:1 | catchy:1 | finish:1,plot:2 | ley:1 | core:1 | opening:1 | tag:1
film,NOUN,32,46,UNCLEAR,ARTIFACT,"Artifact; top_compound: feature, motion","Audiovisual:22 | Fiction writing:15 | Art, design, crafts:9",,,,,compound:15 | conj:9 | obl:5 | nsubj:5 | nmod:4,use:2 | be:2 | make:2 | edit:2 | write:1,short:3 | recent:1 | Black:1 | gay:1 | win:1,feature:6 | handmade:1 | motion:1
stage,NOUN,32,42,UNCLEAR,PROCESS,"Process phase; top_amod: early, final, initial","Fiction writing:21 | Art, design, crafts:6 | Mix:6",,,,,obl:25 | nmod:4 | conj:4 | obj:3 | compound:2,use:9 | help:2 | generate:1 | grapple:1 | create:1,early:8 | final:3 | initial:1 | barebone:1 | current:1,draft:3 | brainstorming:3 | planning:2 | editing:2 | idea:2
generation,NOUN,32,41,UNCLEAR,TECH,"Process/tech; top_compound: image, video, idea, AI","Art, design, crafts:14 | Content writing:13 | Mix:6",,,,,obl:9 | conj:7 | obj:6 | nmod:6 | nsubj:6,use:3 | get:2 | have:1 | force:1 | learn:1,round:1 | perfect:1 | prompt:1 | next:1 | actual:1,image:9 | video:8 | idea:4 | AI:2 | hashtag:1
week,NOUN,32,38,TIME_RESOURCE,RESOURCE,,"Art, design, crafts:11 | Content writing:11 | Fiction writing:6",,,,,obl:unmarked:20 | obl:6 | nmod:3 | obj:3 | nmod:unmarked:2,take:3 | have:2 | learn:1 | choreograph:1 | use:1,few:4 | next:2 | previous:1 | past:1 | last:1,hour:1
creation,NOUN,32,37,UNCLEAR,ARTIFACT,"Process; top_compound: content, image, video","Art, design, crafts:18 | Content writing:6 | Audiovisual:5",,,,,obl:12 | nmod:8 | compound:6 | conj:5 | nsubj:3,use:2 | delve:1 | help:1 | deal:1 | make:1,visual:2 | human:1 | new:1 | more:1 | own:1,content:6 | image:3 | video:2 | pack:1 | website:1
case,NOUN,32,35,DISCOURSE_GENERAL,DISCOURSE,,"Art, design, crafts:15 | Fiction writing:9 | Mix:5",,,,,obl:30 | obj:2 | obl:unmarked:1 | case:1 | nsubj:1,use:4 | have:2 | reach:2 | see:1 | look:1,particular:1 | specific:1 | most:1 | true:1 | good:1,use:4 | sample:1
couple,NOUN,32,34,UNCLEAR,DISCOURSE,Discourse quantifier,"Content writing:10 | Art, design, crafts:8 | Audiovisual:7",,,,,obj:9 | obl:unmarked:8 | nmod:unmarked:6 | nmod:3 | compound:3,get:3 | write:2 | take:2 | use:2 | have:2,past:3 | Canadian:1,
mind,NOUN,32,33,UNCLEAR,DISCOURSE,"Discourse; often ""in mind"", ""come to mind""","Art, design, crafts:13 | Content writing:6 | Fiction writing:6",,,,,obl:23 | obj:4 | nmod:4 | nsubj:2,come:5 | have:5 | keep:3 | get:2 | cross:2,own:2 | human:1,sound:1
company,NOUN,31,42,WORK_CONTEXT,CONTEXT,,"Art, design, crafts:23 | Content writing:9 | Audiovisual:6",,,,,nsubj:17 | nmod:6 | compound:4 | obl:4 | nmod:poss:4,have:2 | work:2 | find:1 | need:1 | hire:1,wide:1 | veterinary:1 | outside:1 | many:1 | first:1,AI:3 | production:2 | plugin:1 | contracting:1 | nation:1
post,NOUN,31,39,CREATIVE_ARTIFACT,ARTIFACT,,"Art, design, crafts:10 | Fiction writing:10 | Content writing:8",,,,,obj:14 | compound:11 | conj:7 | obl:3 | nmod:3,write:4 | read:1 | come:1 | show:1 | use:1,social:5 | many:1 | short:1 | particular:1 | lengthy:1,blog:13 | media:10 | design:1 | video:1 | web:1
hand,NOUN,31,38,UNCLEAR,DISCOURSE,"Discourse; often ""by hand"", ""on the other hand""","Art, design, crafts:17 | Fiction writing:9 | Content writing:6",,,,,obl:17 | compound:7 | nmod:5 | obl:unmarked:4 | conj:3,draw:3 | paint:3 | have:3 | work:2 | create:2,other:3 | second:2 | human:2 | own:1 | float:1,
hour,NOUN,31,38,TIME_RESOURCE,RESOURCE,,"Art, design, crafts:15 | Fiction writing:8 | Content writing:7",,,,,obj:13 | obl:9 | compound:6 | obl:unmarked:4 | nmod:4,take:8 | spend:6 | finish:2 | get:2 | work:1,few:3 | multiple:1 | additional:1,working:1
term,NOUN,31,35,UNCLEAR,DISCOURSE,"Discourse; often ""in terms of""","Fiction writing:14 | Art, design, crafts:9 | Content writing:6",,,,,obl:23 | nmod:3 | obj:3 | nsubj:3 | compound:2,be:2 | have:2 | see:2 | think:2 | come:2,long:2 | musical:1 | key:1 | funny:1 | right:1,Gen:2 | Z:2 | action:1 | library:1
color,NOUN,30,42,UNCLEAR,ARTIFACT,"Artifact element; top_head_verbs: change, use","Art, design, crafts:2 | Audiovisual:1 | Fiction writing:1",,,,,compound:25 | obj:11 | conj:4 | nsubj:2,change:4 | use:3 | pull:1 | mix:1 | ensure:1,wrong:2 | solid:1,paint:1
list,NOUN,30,38,UNCLEAR,DISCOURSE,"Artifact; top_head_verbs: ask, provide, have, get","Art, design, crafts:16 | Fiction writing:8 | Content writing:7",,,,,obj:21 | obl:11 | nmod:2 | nsubj:2 | compound:1,ask:6 | provide:5 | have:4 | get:3 | generate:3,long:1 | wide:1 | helpful:1 | do:1,paper:1 | character:1 | card:1 | art:1 | supply:1
blog,NOUN,30,34,UNCLEAR,ARTIFACT,"Artifact/context; top_head_verbs: start, write","Content writing:17 | Art, design, crafts:8 | Fiction writing:5",,,,,compound:16 | obl:5 | conj:5 | obj:4 | nmod:2,start:2 | write:2 | outline:1 | work:1 | create:1,customize:1 | complete:1 | short:1 | online:1,research:1 | style:1 | portfolio:1 | makeup:1 | form:1
photo,NOUN,29,43,UNCLEAR,ARTIFACT,"Artifact; top_head_verbs: edit, use","Art, design, crafts:31 | Mix:8 | Audiovisual:2",,,,,obj:15 | compound:10 | obl:6 | nmod:5 | nsubj:3,edit:4 | use:3 | plug:2 | have:2 | be:2,separate:1 | main:1 | good:1 | other:1 | random:1,wedding:3 | family:3 | stock:2 | group:1 | estate:1
experience,NOUN,29,32,UNCLEAR,RESOURCE,"Resource; top_amod: human, live","Art, design, crafts:1 | Content writing:1 | Fiction writing:1",,,,,obj:7 | conj:7 | nmod:5 | obl:4 | nsubj:4,have:5 | find:2 | bear:1 | limit:1 | make:1,human:4 | live:1 | other:1 | limit:1 | many:1,client:3 | cinematography:1 | media:1 | work:1
stuff,NOUN,29,32,DISCOURSE_GENERAL,DISCOURSE,Very generic reference term,"Fiction writing:11 | Art, design, crafts:9 | Audiovisual:7",,,,,obj:9 | obl:8 | nmod:6 | root:3 | conj:3,help:2 | do:2 | use:2 | be:1 | give:1,boring:2 | other:1 | little:1 | fun:1 | general:1,admin:2 | form:1 | character:1 | type:1 | filler:1
life,NOUN,29,31,UNCLEAR,DISCOURSE,"Discourse/context; top_head_verbs: bring, make","Fiction writing:12 | Art, design, crafts:11 | Audiovisual:3",,,,,obl:12 | obj:7 | nmod:4 | compound:3 | conj:2,bring:3 | make:2 | have:2 | see:1 | know:1,real:3 | entire:1 | inner:1 | quiet:1 | daily:1,art:1
material,NOUN,28,38,UNCLEAR,ARTIFACT,"Artifact/resource; top_compound: marketing, reference","Fiction writing:22 | Art, design, crafts:9 | Content writing:4",,,,,obj:16 | nmod:9 | obl:8 | conj:3 | compound:2,generate:3 | use:2 | make:2 | provide:2 | do:1,other:3 | promotional:2 | creative:2 | face:1 | right:1,marketing:4 | reference:3 | training:1 | background:1
copy,NOUN,28,35,CREATIVE_ARTIFACT,ARTIFACT,,"Content writing:16 | Art, design, crafts:9 | Mix:4",I:5 | much:1,design:1 | that:1 | style:1 | it:1 | section:1,,content:1 | chat:1 | document:1,obj:13 | obl:7 | compound:6 | conj:4 | nmod:3,write:4 | have:1 | run:1 | create:1 | utilize:1,creative:1 | main:1 | professional:1 | freelance:1,writing:5 | marketing:3 | website:3 | ad:1 | sale:1
response,NOUN,28,33,UNCLEAR,ARTIFACT,"Artifact; top_compound: AI, email, text","Art, design, crafts:10 | Fiction writing:10 | Mix:6",,,,,obj:14 | nsubj:8 | obl:4 | nmod:3 | conj:2,use:2 | prompt:1 | seed:1 | get:1 | hear:1,slow:1 | emotional:1 | ideal:1 | more:1 | accurate:1,AI:2 | burn:1 | email:1 | text:1 | weather:1
production,NOUN,28,32,UNCLEAR,ARTIFACT,"Process/artifact; top_compound: video, post, film, music","Audiovisual:17 | Art, design, crafts:10 | Fiction writing:3",,,,,compound:15 | conj:6 | obl:4 | obj:3 | nmod:2,supplant:1 | programming:1 | have:1 | work:1 | do:1,full:1 | physical:1 | live:1 | indie:1,video:4 | post:3 | film:1 | TV:1 | music:1
sound,NOUN,28,32,UNCLEAR,ARTIFACT,Audio artifact; compound: quality,"Art, design, crafts:39 | Fiction writing:31 | Content writing:20",that:30 | it:6 | they:2 | version:1 | which:1,touch:1 | cutter:1,good:52 | great:22 | right:4 | fine:4 | human:3,I:13 | voice:2 | artist:1 | sibling:1 | brand:1,compound:21 | obj:4 | obl:2 | appos:1 | parataxis:1,make:1 | test:1 | accept:1 | detect:1 | experiment:1,cheesy:1 | bad:1 | high:1 | intend:1,quality:1
marketing,NOUN,27,31,UNCLEAR,CONTEXT,Context; top_compound: media,"Art, design, crafts:12 | Content writing:7 | Fiction writing:7",,,,,compound:17 | conj:5 | nmod:3 | obj:3 | obl:2,work:1 | enhance:1 | create:1 | brainstorm:1,social:3,media:3 | end:1
sort,NOUN,27,31,DISCOURSE_GENERAL,DISCOURSE,Discourse classifier,"Fiction writing:10 | Art, design, crafts:7 | Audiovisual:6",,,,,obl:9 | nmod:6 | obj:5 | advmod:5 | nsubj:2,use:4 | have:2 | sell:1 | think:1 | check:1,dark:1,hybrid:1
role,NOUN,27,30,UNCLEAR,CONTEXT,"Context; top_head_verbs: see, play, assume","Art, design, crafts:10 | Fiction writing:6 | Mix:6",,,,,obj:14 | conj:4 | obl:3 | nmod:3 | compound:3,see:3 | play:3 | assume:2 | seek:2 | continue:1,particular:2 | primary:1 | prompt:1 | limited:1,writing:2 | marketing:1 | copywriter:1 | assistant:1 | entry:1
partner,NOUN,27,28,UNCLEAR,CONTEXT,"Agent/context; top_amod: creative, collaborative","Fiction writing:11 | Art, design, crafts:6 | Audiovisual:4",,,,,obl:12 | conj:5 | obj:3 | nsubj:3 | root:2,become:2 | have:2 | use:2 | demand:1 | operate:1,creative:4 | full:2 | collaborative:2 | editorial:1 | great:1,writing:5 | editorial:2 | chatbot:1 | research:1 | workshop:1
article,NOUN,26,50,UNCLEAR,ARTIFACT,"Artifact; top_head_verbs: write, read, feed",Content writing:22 | Mix:19 | Fiction writing:6,,,,,obj:17 | nmod:14 | conj:7 | obl:6 | nsubj:3,write:6 | read:4 | feed:3 | link:2 | send:1,general:2 | competitive:1 | multiple:1 | such:1 | finish:1,blog:2 | knowledge:1 | ghost:1 | writing:1 | non-fiction:1
draft,NOUN,26,40,CREATIVE_ARTIFACT,ARTIFACT,,"Fiction writing:7 | Art, design, crafts:6 | Audiovisual:5",I:3,novel:5 | letter:3 | memo:1 | something:1 | cover:1,,era:1 | they:1 | AI:1 | Arcs:1 | I:1,obj:17 | obl:11 | compound:5 | nsubj:3 | nmod:2,create:6 | get:3 | outline:2 | go:2 | brainstorm:1,first:9 | rough:5 | second:2 | initial:1 | early:1,story:3 | base:1 | grammar:1 | v1:1
series,NOUN,26,36,UNCLEAR,ARTIFACT,"Artifact; top_head_verbs: write, create","Fiction writing:21 | Art, design, crafts:9 | Content writing:3",,,,,obj:14 | obl:8 | conj:6 | nmod:4 | root:2,write:4 | create:2 | do:2 | take:1 | paint:1,late:1 | new:1 | first:1 | original:1 | animated:1,book:2 | fantasy:1 | TV:1 | web:1 | novel:1
llm,NOUN,26,33,AI_TECH,TECH,,Audiovisual:10 | Content writing:9 | Mix:6,,,,,nsubj:15 | obj:11 | obl:3 | iobj:1 | compound:1,have:4 | use:4 | ask:2 | try:2 | break:1,different:1 | other:1,
background,NOUN,25,34,UNCLEAR,DISCOURSE,,"Art, design, crafts:21 | Mix:4 | Audiovisual:3",,,,,compound:11 | obj:9 | obl:8 | nmod:3 | conj:2,give:2 | have:2 | remove:2 | knock:1 | kill:1,low:1 | create:1 | gray:1 | transparent:1 | academic:1,income:1 | coding:1 | image:1
designer,NOUN,25,34,WORK_CONTEXT,AGENT,,"Art, design, crafts:20 | Audiovisual:7 | Content writing:3",,,,,conj:9 | nsubj:7 | obj:7 | root:6 | obl:3,know:3 | pay:2 | use:1 | send:1 | boot:1,graphic:9 | human:3 | base:1 | Graphic:1 | skilled:1,interior:3 | game:2 | circuit:2 | costume:1 | set:1
ability,NOUN,25,29,UNCLEAR,RESOURCE,,"Art, design, crafts:15 | Fiction writing:6 | Content writing:4",,,,,obl:7 | nsubj:6 | obj:5 | conj:4 | root:2,have:2 | assist:1 | make:1 | create:1 | be:1,human:1 | different:1 | limitless:1 | own:1 | distinct:1,AI:1 | research:1
market,NOUN,25,27,UNCLEAR,CONTEXT,,"Fiction writing:14 | Art, design, crafts:4 | Content writing:4",,,,,obj:8 | nsubj:5 | obl:4 | nmod:3 | compound:3,flood:3 | oversaturate:2 | upload:1 | use:1 | look:1,appropriate:1 | tough:1 | certain:1 | local:1,flood:1 | job:1 | end:1 | art:1
output,NOUN,25,27,UNCLEAR,TECH,,"Art, design, crafts:7 | Content writing:7 | Mix:5",,,,,obj:10 | nmod:7 | nsubj:5 | obl:3 | conj:1,improve:3 | alter:2 | use:2 | mean:2 | inspect:1,creative:4 | good:3 | own:2 | generate:1 | complete:1,AI:1 | audio:1 | image:1
moment,NOUN,25,26,UNCLEAR,RESOURCE,,"Art, design, crafts:10 | Fiction writing:8 | Audiovisual:3",,,,,obl:11 | nmod:5 | obj:3 | root:2 | nsubj:2,capture:2 | see:1 | have:1 | love:1 | feel:1,same:1 | final:1 | beautiful:1,
past,NOUN,25,26,UNCLEAR,DISCOURSE,,"Fiction writing:8 | Art, design, crafts:7 | Content writing:4",,,,,obl:24 | nmod:2,use:4 | have:3 | do:2 | focus:2 | take:1,,person:1
show,NOUN,24,32,UNCLEAR,ARTIFACT,"Artifact; TV show, presentation, exhibition","Fiction writing:14 | Art, design, crafts:10 | Audiovisual:6",I:2 | algorithm:1 | chord:1 | that:1 | image:1,I:3 | boss:2 | post:1 | era:1 | interest:1,look:1,in:1 | screen:1 | client:1,nmod:10 | obj:6 | obl:6 | nsubj:3 | conj:3,run:1 | get:1 | work:1 | make:1 | hit:1,separate:1 | exist:1 | live:1,TV:5 | fire:1
email,NOUN,24,30,CREATIVE_ARTIFACT,ARTIFACT,,"Art, design, crafts:14 | Content writing:5 | Fiction writing:5",,,,,obj:10 | conj:8 | compound:4 | obl:3 | nmod:3,respond:3 | write:3 | make:1 | send:1 | draft:1,cold:1 | previous:1 | professional:1,client:1 | draft:1
collaboration,NOUN,24,29,PROCESS_WORKFLOW,PROCESS,,"Fiction writing:11 | Art, design, crafts:9 | Mix:6",,,,,nsubj:8 | obj:7 | obl:3 | nmod:2 | root:2,describe:3 | drive:2 | consider:1 | come:1 | work:1,non-visual:1 | excellent:1 | common:1,
perspective,NOUN,24,26,UNCLEAR,CONCEPT,,"Art, design, crafts:8 | Fiction writing:7 | Audiovisual:5",,,,,obj:9 | nmod:6 | obl:5 | conj:3 | nsubj:2,refine:1 | capture:1 | look:1 | find:1 | give:1,different:4 | unique:3 | own:2 | same:1 | creative:1,person:1
form,NOUN,24,25,UNCLEAR,CONCEPT,Polysemous: shape vs document vs type,Fiction writing:8 | Audiovisual:6 | Content writing:5,,,,,compound:8 | obl:7 | obj:4 | conj:2 | nmod:2,take:2 | tell:2 | shift:1 | feel:1 | involve:1,short:4 | long:2 | many:2 | various:2 | different:1,art:2
change,NOUN,24,24,UNCLEAR,DISCOURSE,,"Art, design, crafts:11 | Fiction writing:5 | Content writing:3",it:6 | that:5 | I:5 | this:4 | AI:4,much:5 | process:4 | color:4 | most:3 | word:3,more:1 | think:1 | publish:1 | focus:1,work:3 | I:3 | way:2 | year:2 | image:2,obj:10 | nsubj:6 | obl:2 | nmod:2 | compound:1,make:5 | hammer:1 | involve:1 | look:1 | help:1,big:4 | multiple:1 | small:1 | overall:1 | most:1,feature:1 | game:1 | AI:1 | topic:1 | climate:1
asset,NOUN,23,45,UNCLEAR,ARTIFACT,,"Content writing:25 | Mix:11 | Art, design, crafts:9",,,,,obj:18 | nmod:6 | compound:6 | obl:6 | nsubj:4,create:8 | generate:3 | draw:2 | look:2 | come:1,generate:4 | ready:4 | creative:2 | own:1 | specific:1,map:2 | D:1 | game:1 | production:1 | business:1
step,NOUN,23,29,PROCESS_WORKFLOW,PROCESS,,"Art, design, crafts:10 | Content writing:9 | Fiction writing:8",,,,,obl:11 | obj:5 | nmod:4 | nsubj:outer:4 | nsubj:2,use:5 | go:3 | include:2 | continue:1 | get:1,next:5 | creative:2 | practice:1 | tedious:1 | actual:1,revision:1 | brainstorming:1 | workflow:1
thought,NOUN,23,27,UNCLEAR,DISCOURSE,,"Art, design, crafts:10 | Fiction writing:7 | Mix:6",,,,,obj:9 | obl:5 | nmod:4 | compound:4 | conj:3,use:2 | record:1 | translate:1 | ask:1 | come:1,own:4 | creative:1 | certain:1,side:1
tone,NOUN,23,27,CREATIVE_CONCEPT,CONCEPT,,"Audiovisual:6 | Content writing:6 | Art, design, crafts:5",,,,,obj:14 | conj:5 | nmod:4 | obl:4,use:2 | achieve:1 | have:1 | lose:1 | ask:1,right:2 | consistent:1 | particular:1 | necessary:1 | specific:1,skin:1
feature,NOUN,23,26,UNCLEAR,TECH,,"Fiction writing:8 | Art, design, crafts:7 | Audiovisual:6",,,,,compound:10 | obj:6 | nmod:4 | obl:3 | conj:1,use:2 | have:2 | keep:1 | rely:1 | think:1,new:1 | specific:1 | suggest:1 | graphic:1 | change:1,AI:4 | optimize:1 | suggest:1 | version:1 | history:1
fact,NOUN,23,25,UNCLEAR,DISCOURSE,,"Fiction writing:8 | Content writing:7 | Art, design, crafts:4",,,,,obl:9 | compound:4 | obj:4 | nsubj:2 | advmod:2,check:6 | think:2 | matter:1 | struggle:1 | ask:1,interesting:2 | historical:1 | much:1,
side,NOUN,23,25,UNCLEAR,DISCOURSE,,"Art, design, crafts:10 | Audiovisual:5 | Fiction writing:5",,,,,obl:12 | compound:4 | obj:3 | nmod:2 | nsubj:2,come:2 | work:1 | get:1 | reach:1 | write:1,creative:6 | social:1 | other:1 | technical:1 | artistic:1,media:1 | video:1 | business:1 | writing:1 | research:1
outline,NOUN,22,32,CREATIVE_CONCEPT,ARTIFACT,,"Content writing:6 | Fiction writing:6 | Art, design, crafts:3",I:2,idea:2 | draft:2 | content:1 | planning:1 | plot:1,research:1,blog:1 | whole:1 | document:1 | course:1 | page:1,obj:13 | obl:7 | nmod:5 | conj:2 | nsubj:2,create:2 | send:1 | give:1 | complete:1 | organise:1,detailed:2 | quick:1 | rough:1 | few:1 | different:1,page:1 | storyboard:1 | story:1 | chapter:1
cover,NOUN,22,28,UNCLEAR,ARTIFACT,,"Fiction writing:14 | Audiovisual:7 | Art, design, crafts:4",we:6 | that:3 | I:2 | everything:1 | each:1,it:5 | everything:2 | topic:2 | area:1 | insight:1,when:1,phase:1,obj:10 | compound:8 | obl:5 | nmod:2 | conj:1,create:3 | make:2 | generate:2 | design:1 | judge:1,heavy:1 | own:1 | complete:1,book:5 | placeholder:1 | artist:1 | album:1
description,NOUN,22,27,UNCLEAR,ARTIFACT,,"Art, design, crafts:12 | Fiction writing:5 | Mix:4",,,,,obj:14 | obl:7 | conj:3 | nsubj:2 | compound:1,write:4 | create:2 | provide:2 | come:2 | generate:2,sonic:1 | related:1 | good:1 | perfect:1 | short:1,listing:3 | video:1 | conception:1 | performance:1 | product:1
reader,NOUN,22,27,UNCLEAR,AGENT,,Fiction writing:15 | Content writing:7 | Mix:3,,,,,obl:10 | nsubj:7 | nmod:4 | conj:3 | obj:2,feel:2 | act:2 | think:1 | run:1 | use:1,human:2 | intuitive:1 | casual:1 | many:1 | western:1,beta:4 | steal:1 | time:1 | proof:1 | day:1
edit,NOUN,22,26,UNCLEAR,PROCESS,,"Art, design, crafts:25 | Mix:21 | Fiction writing:16",I:18 | statement:1 | work:1 | project:1 | who:1,photo:4 | work:3 | manuscript:3 | it:3 | image:3,,program:1 | completion:1 | editing:1 | image:1 | other:1,obj:13 | conj:8 | obl:4 | nsubj:1,make:6 | do:2 | see:1 | clean:1 | have:1,several:1 | minor:1 | second:1 | obvious:1 | basic:1,level:1 | correct:1 | AI:1 | seo:1 | self:1
track,NOUN,22,26,UNCLEAR,ARTIFACT,Polysemous: audio recording vs follow vs path,"Fiction writing:8 | Art, design, crafts:6 | Audiovisual:6",,,,,obj:17 | obl:5 | nmod:2 | appos:1 | compound:1,keep:11 | lose:4 | make:2 | get:1 | send:1,several:1 | different:1 | specific:1,
future,NOUN,22,23,UNCLEAR,DISCOURSE,,"Art, design, crafts:10 | Content writing:6 | Fiction writing:3",,,,,obl:17 | nmod:4 | compound:1 | conj:1,like:2 | get:1 | adapt:1 | love:1 | appreciate:1,near:3 | creative:1,
